Titolo Imprevisto,Progetto,Descrizione Problema,Tipo,Criticità,Data Imprevisti,Stato,Rischio Previsioanle
Ritardo Consegna Raccordi,PV-2025-01,Ritardo nella consegna dei raccordi speciali da parte del fornitore.,Fornitore,Alta,18/6/2025,Aperto,Possibile slittamento delle attività di saldatura e assemblaggio.
Forno in Manutenzione,PV-2025-01,Malfunzionamento temporaneo del forno per trattamenti termici.,Tecnico,Media,27/7/2025,Risolto,Ritardo minimo sulle attività di trattamento termico
Difetti Saldature via NDT,PV-2024-01,Difettosità saldature rilevate ai controlli NDT.,Qualità,Alta,4/4/2024,Risolto,Ritardo su completamento saldature e controlli.
Guasto forno,PV-2024-01,Guasto forno trattamenti termici.,Tecnico,Alta,17/5/2024,Risolto,Slittamento attività di trattamento termico.
Ritardo consegna Primer,PV-2024-01,Ritardo fornitura primer speciale per verniciatura.,Fornitore,Media,15/6/2024,Risolto,Possibile ritardo su verniciatura finale.
Ritardo Certificazioni Materiali,SEP-2025-02,Ritardo nella consegna delle certificazioni EN 10204 per acciai speciali da parte del fornitore britannico.,Fornitore,Alta,12/6/2025,Risolto,Possibile slittamento ordine materiali e avvio fabbricazione.
Difetto Saldatura Internals,SEP-2025-02,Riscontrata porosità nelle saldature dei supporti interni durante controlli UT.,Qualità,Media,28/6/2025,Risolto,Necessaria ripresa saldature con possibile ritardo assemblaggio.
Guasto Gru Officina,SEP-2025-02,Malfunzionamento della gru principale dell'officina durante movimentazione gusci.,Tecnico,Media,22/4/2025,Aperto,Rallentamento nelle operazioni di assemblaggio e saldatura.
Ostacolo Roccioso Imprevisto,G.PIPE-2025-03,Incontrato banco roccioso non previsto dal survey geologico durante scavi tratto 1.,Ambientale,Alta,8/3/2025,Risolto,Significativo ritardo negli scavi e possibile aumento costi.
Ritardo Tubazioni API 5L,G.PIPE-2025-03,Ritardo di 10 giorni nella consegna delle tubazioni certificate API 5L dal fornitore spagnolo.,Fornitore,Alta,2/6/2025,Risolto,Slittamento inizio posa tubazioni e attività correlate.
Condizioni Meteo Avverse,G.PIPE-2025-03,Piogge intense per 3 giorni consecutivi hanno fermato le attività di posa.,Ambientale,Media,18/6/2025,Risolto,"Ritardo minimo su posa tubazioni, recuperabile."
Problema Saldatrice Pipeline,G.PIPE-2025-03,Malfunzionamento della saldatrice automatica per pipeline durante test preliminari.,Tecnico,Alta,10/9/2025,Aperto,Possibile ritardo significativo su saldature giunti pipeline.
Revisione Normativa DNV,OFF.P-2025-04,Aggiornamento normativa DNV-GL richiede revisione calcoli strutturali jacket.,Normativo,Media,5/9/2025,Aperto,Possibile ritardo su approvazione progettazione strutturale.
Ritardo Approvazione Cliente,OFF.P-2025-04,TotalEnergies ha richiesto modifiche ai parametri di progetto dopo kick-off meeting.,Cliente,Alta,9/5/2025,Aperto,Significativo impatto su timeline progettazione e procurement.
Ritardo consegna vessel principale,G.Dh-2024-02,Il fornitore tedesco ha consegnato il vessel principale con 10 giorni di ritardo.,Fornitore,Alta,18/3/2024,Risolto,Slittamento avvio assemblaggio skid e test preliminari.
Difetto saldatura piping skid,G.Dh-2024-02,Durante i controlli NDT sono state riscontrate porosità in alcune saldature piping.,Qualità,Media,10/5/2024,Risolto,"Necessaria ripresa saldature, ritardo minimo su fabbricazione."
Problema software PLC,G.Dh-2024-02,Bug nel software di controllo PLC rilevato durante il commissioning.,Tecnico,Media,10/8/2024,Risolto,Ritardo di 3 giorni su test funzionali e collaudo.
Ritardo doganale componenti elettronici,G.Dh-2024-02,Fermo doganale di 5 giorni su sensori di pressione importati dagli USA.,Logistica,Media,28/3/2024,Risolto,Ritardo su installazione strumentazione e test preliminari.
Guasto pompa collaudo FAT,G.Dh-2024-02,Guasto improvviso della pompa di collaudo durante test FAT.,Tecnico,Alta,25/9/2024,Risolto,"Necessaria sostituzione pompa, slittamento collaudo di 2 giorni."
Ritardo consegna fondi vessel,PV-2024-03,Il fornitore ha consegnato i fondi vessel con 7 giorni di ritardo.,Fornitore,Alta,10/4/2024,Risolto,Slittamento avvio saldature guscio e fondi.
Difetti saldature rilevati ai controlli NDT,PV-2024-03,Porosità rilevate durante controlli radiografici sulle saldature principali.,Qualità,Media,15/6/2024,Risolto,"Necessaria ripresa saldature, ritardo"
Guasto forno trattamenti termici,PV-2024-03,Malfunzionamento temporaneo del forno per trattamenti termici.,Tecnico,Media,27/7/2024,Risolto,Ritardo minimo sulle attività di trattamento termico.
Ritardo fornitura valvole di sicurezza,PV-2024-03,Fermo doganale di 5 giorni su valvole di sicurezza importate.,Logistica,Media,2/5/2024,Risolto,Ritardo su installazione valvole e test preliminari.
Problema taratura strumenti di pressione,PV-2024-03,Errore di taratura rilevato durante collaudo funzionale.,Tecnico,Bassa,5/10/2024,Risolto,"Risolto in 2 giorni, nessun impatto su consegna."